# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "exon" "-g" "Name" "-a" "NCTC8325.gff3.gz" "-o" "counts.tsv" "SRR935091.sorted.bam" "SRR935090.sorted.bam" "SRR935092.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR935091.sorted.bam	SRR935090.sorted.bam	SRR935092.sorted.bam
ABD29293-1	Chromosome	115867	116088	+	222	0	0	0
ABD29294-1	Chromosome	116538	119147	+	2610	0	0	0
ABD29295-1	Chromosome	119492	120160	+	669	0	0	0
ABD29296-1	Chromosome	120176	120862	+	687	0	1	0
ABD29297-1	Chromosome	120865	121629	+	765	0	0	0
ABD29298-1	Chromosome	121649	123472	+	1824	0	0	0
ABD29299-1	Chromosome	123462	124490	+	1029	0	0	0
ABD29300-1	Chromosome	124503	125612	+	1110	0	0	0
ABD29301-1	Chromosome	125616	126740	+	1125	1	0	0
ABD29302-1	Chromosome	126743	127369	+	627	0	0	0
ABD29303-1	Chromosome	127374	128483	+	1110	0	0	0
ABD29304-1	Chromosome	128497	129663	+	1167	0	0	0
ABD29305-1	Chromosome	129656	130861	+	1206	1	0	0
ABD29306-1	Chromosome	130862	132067	+	1206	0	0	2
ABD29307-1	Chromosome	132078	132635	+	558	0	0	1
ABD29308-1	Chromosome	132635	133522	+	888	0	0	0
ABD29309-1	Chromosome	133576	134838	+	1263	1	0	1
ABD29310-1	Chromosome	134915	136060	+	1146	2	0	2
ABD29311-1	Chromosome	136125	136451	-	327	1	0	1
ABD29312-1	Chromosome	136458	136841	-	384	0	0	0
ABD29313-1	Chromosome	137268	138755	+	1488	0	0	0
ABD29314-1	Chromosome	139401	140360	+	960	2	0	0
ABD29315-1	Chromosome	140422	140625	-	204	0	0	0
ABD29316-1	Chromosome	140804	141316	+	513	0	3	0
ABD29317-1	Chromosome	141658	142398	+	741	2	0	0
ABD29318-1	Chromosome	142412	143386	+	975	2	1	1
ABD29319-1	Chromosome	143383	144144	+	762	0	1	0
ABD29320-1	Chromosome	144157	145188	+	1032	0	0	0
ABD29321-1	Chromosome	145405	145764	+	360	0	1	2
ABD29322-1	Chromosome	145937	146962	+	1026	0	0	0
ABD29323-1	Chromosome	147348	148598	+	1251	0	0	3
ABD29324-1	Chromosome	149045	156220	+	7176	0	3	3
ABD29325-1	Chromosome	156233	156877	+	645	0	0	2
ABD29326-1	Chromosome	157205	157684	-	480	0	0	0
ABD29327-1	Chromosome	157954	158718	-	765	0	1	0
ABD29328-1	Chromosome	158734	159975	-	1242	0	0	1
ABD29329-1	Chromosome	159987	161018	-	1032	1	0	0
EBG00001047341-1	Chromosome	160579	160770	-	192	0	0	0
ABD29330-1	Chromosome	161057	162241	-	1185	1	0	0
ABD29331-1	Chromosome	162494	163849	-	1356	1	11	4
ABD29332-1	Chromosome	164125	164622	-	498	0	1	6
ABD29333-1	Chromosome	164749	166389	-	1641	0	2	10
ABD29334-1	Chromosome	166583	166684	+	102	0	0	0
ABD29335-1	Chromosome	166663	168660	-	1998	0	19	41
ABD29336-1	Chromosome	169309	170349	+	1041	0	0	0
ABD29337-1	Chromosome	170349	171245	+	897	0	0	0
ABD29338-1	Chromosome	171257	172711	+	1455	0	1	0
ABD29339-1	Chromosome	172714	173589	+	876	0	1	0
ABD29340-1	Chromosome	173783	174064	-	282	0	0	0
ABD29341-1	Chromosome	174277	177066	+	2790	5	1	4
ABD29342-1	Chromosome	177271	178113	+	843	0	0	1
ABD29343-1	Chromosome	178115	179038	+	924	1	2	1
ABD29344-1	Chromosome	179025	180137	+	1113	0	0	1
ABD29345-1	Chromosome	180402	181994	-	1593	0	2	0
ABD29346-1	Chromosome	181951	183429	+	1479	0	1	0
ABD29347-1	Chromosome	183435	184598	+	1164	0	0	0
ABD29348-1	Chromosome	184615	186390	+	1776	0	0	0
ABD29349-1	Chromosome	186428	188434	+	2007	2	2	0
ABD29350-1	Chromosome	188732	189505	-	774	0	0	0
ABD29351-1	Chromosome	189695	190321	-	627	0	1	0
ABD29352-1	Chromosome	190530	191108	+	579	0	2	1
ABD29353-1	Chromosome	191491	192588	+	1098	0	0	0
ABD29354-1	Chromosome	192601	193872	+	1272	1	0	0
ABD29355-1	Chromosome	193875	195143	+	1269	0	0	0
ABD29356-1	Chromosome	195145	195984	+	840	0	0	0
ABD29357-1	Chromosome	196058	197134	+	1077	0	1	0
ABD29358-1	Chromosome	197159	198199	+	1041	0	0	1
ABD29359-1	Chromosome	198254	199222	+	969	0	0	0
ABD29360-1	Chromosome	199583	200155	-	573	1	4	8
ABD29361-1	Chromosome	200310	201689	+	1380	0	1	0
ABD29362-1	Chromosome	202048	202806	-	759	1	0	1
ABD29363-1	Chromosome	202799	204355	-	1557	0	0	1
ABD29364-1	Chromosome	204352	205320	-	969	1	1	0
ABD29365-1	Chromosome	205908	208157	+	2250	1	0	0
ABD29366-1	Chromosome	208180	208935	+	756	0	0	0
ABD29367-1	Chromosome	209039	209233	+	195	0	0	0
ABD29368-1	Chromosome	209271	211034	+	1764	0	3	2
ABD29369-1	Chromosome	211198	211542	-	345	0	0	1
ABD29370-1	Chromosome	211732	213642	+	1911	0	1	2
ABD29371-1	Chromosome	213824	213931	-	108	0	0	0
ABD29372-1	Chromosome	213950	214120	-	171	0	0	0
ABD29373-1	Chromosome	214246	215430	-	1185	0	0	0
ABD29374-1	Chromosome	215460	217721	-	2262	0	0	0
ABD29375-1	Chromosome	217907	219118	-	1212	0	0	0
ABD29376-1	Chromosome	219230	220735	-	1506	0	0	0
ABD29377-1	Chromosome	220761	222338	-	1578	0	1	0
ABD29378-1	Chromosome	222779	223921	+	1143	1	1	2
ABD29379-1	Chromosome	224235	225647	-	1413	1	0	0
ABD29380-1	Chromosome	225908	226264	-	357	0	0	0
ABD29381-1	Chromosome	226421	226594	-	174	0	0	0
ABD29382-1	Chromosome	226620	227765	-	1146	3	0	5
ABD29383-1	Chromosome	227920	228027	+	108	0	0	0
ABD29384-1	Chromosome	228482	229291	+	810	0	0	0
ABD29385-1	Chromosome	229502	229645	+	144	0	0	0
ABD29386-1	Chromosome	229611	231140	-	1530	0	0	0
ABD29387-1	Chromosome	231502	232437	+	936	0	1	0
ABD29388-1	Chromosome	232547	232645	+	99	0	0	0
ABD29389-1	Chromosome	232776	234872	+	2097	1	0	0
ABD29390-1	Chromosome	234857	235324	+	468	0	0	0
ABD29391-1	Chromosome	235347	235625	+	279	0	0	0
ABD29392-1	Chromosome	235852	237111	+	1260	0	0	0
ABD29393-1	Chromosome	237129	238184	+	1056	0	0	0
ABD29394-1	Chromosome	238186	238332	+	147	0	0	0
ABD29395-1	Chromosome	238356	239399	+	1044	0	1	0
ABD29396-1	Chromosome	239969	240643	+	675	0	0	1
ABD29397-1	Chromosome	240636	241661	+	1026	0	4	0
ABD32040-1	Chromosome	241570	241857	-	288	0	0	0
ABD29398-1	Chromosome	241836	243377	+	1542	1	10	3
ABD29399-1	Chromosome	243805	244974	+	1170	0	1	3
ABD29400-1	Chromosome	245250	245966	+	717	1	3	5
ABD29401-1	Chromosome	245959	246984	+	1026	2	5	15
ABD29402-1	Chromosome	247006	248694	+	1689	7	8	34
ABD29403-1	Chromosome	248727	250451	+	1725	11	8	43
ABD29404-1	Chromosome	250591	251265	+	675	0	0	0
ABD29405-1	Chromosome	251527	253266	+	1740	3	1	2
ABD29406-1	Chromosome	253269	254009	+	741	1	1	2
ABD29407-1	Chromosome	254122	254565	+	444	2	0	0
ABD29408-1	Chromosome	254558	255259	+	702	1	0	0
ABD29409-1	Chromosome	255367	256071	-	705	0	2	1
ABD29410-1	Chromosome	256220	257011	+	792	0	0	1
ABD29411-1	Chromosome	257027	258463	+	1437	0	2	3
ABD29412-1	Chromosome	258896	259657	-	762	0	1	0
ABD29413-1	Chromosome	259676	259810	+	135	0	0	0
ABD29414-1	Chromosome	259908	260822	-	915	0	0	0
ABD29415-1	Chromosome	260850	261254	-	405	0	1	0
ABD29416-1	Chromosome	261269	262150	-	882	1	0	1
ABD29417-1	Chromosome	262382	263380	-	999	1	2	1
ABD29418-1	Chromosome	263531	263710	+	180	0	0	0
ABD29419-1	Chromosome	263760	264152	+	393	0	1	0
ABD29420-1	Chromosome	264380	264784	+	405	2	0	0
ABD29421-1	Chromosome	264825	266201	-	1377	0	0	0
ABD29422-1	Chromosome	266435	267427	+	993	1	0	1
ABD29423-1	Chromosome	267753	268703	+	951	3	3	1
ABD29424-1	Chromosome	268755	269414	-	660	1	0	0
ABD29425-1	Chromosome	269428	270348	-	921	0	1	2
ABD29426-1	Chromosome	270345	271511	-	1167	1	0	1
ABD29427-1	Chromosome	271579	273102	-	1524	0	5	3
ABD29428-1	Chromosome	273373	274026	+	654	0	0	0
ABD29429-1	Chromosome	274060	274647	+	588	0	0	1
ABD29430-1	Chromosome	274790	275683	-	894	0	2	0
ABD29431-1	Chromosome	275931	276224	+	294	7	4	2
ABD29432-1	Chromosome	276308	279337	+	3030	1	2	1
ABD29433-1	Chromosome	279337	279795	+	459	0	1	1
ABD29434-1	Chromosome	279728	280009	+	282	0	0	0
ABD29435-1	Chromosome	280022	281356	+	1335	1	2	0
ABD29436-1	Chromosome	281378	285817	+	4440	1	3	1
ABD29437-1	Chromosome	285847	286239	+	393	0	0	0
ABD29438-1	Chromosome	286255	286569	+	315	0	0	0
ABD29439-1	Chromosome	286569	287243	+	675	0	1	0
ABD29440-1	Chromosome	287243	287560	+	318	0	0	0
ABD29441-1	Chromosome	287570	289414	+	1845	1	2	1
ABD29442-1	Chromosome	289425	289916	+	492	0	2	3
ABD29443-1	Chromosome	290124	290807	+	684	1	1	1
ABD29444-1	Chromosome	290954	291565	+	612	0	0	0
ABD29445-1	Chromosome	291701	291919	+	219	0	0	1
ABD29446-1	Chromosome	292051	292551	+	501	1	0	1
ABD29447-1	Chromosome	292421	293062	+	642	0	1	0
ABD29448-1	Chromosome	293073	293573	+	501	0	0	0
ABD29449-1	Chromosome	293584	294084	+	501	0	0	0
ABD29450-1	Chromosome	294095	294583	+	489	0	0	0
ABD29451-1	Chromosome	295206	295580	+	375	0	2	0
ABD29452-1	Chromosome	295733	296131	+	399	1	1	2
ABD29453-1	Chromosome	296347	297171	-	825	0	0	1
ABD29454-1	Chromosome	297408	298685	-	1278	0	5	9
ABD29455-1	Chromosome	299299	300189	+	891	0	6	3
ABD32041-1	Chromosome	300206	300439	-	234	0	0	0
ABD29456-1	Chromosome	300438	301487	+	1050	2	0	0
ABD29457-1	Chromosome	301500	302177	+	678	0	0	1
ABD29458-1	Chromosome	302336	302476	-	141	0	0	0
ABD29459-1	Chromosome	302466	303416	+	951	0	0	2
ABD29460-1	Chromosome	303759	304877	+	1119	0	0	0
ABD29461-1	Chromosome	304852	305775	+	924	0	0	0
ABD29462-1	Chromosome	305786	307006	+	1221	0	0	0
ABD29463-1	Chromosome	307111	308643	-	1533	1	0	0
ABD29464-1	Chromosome	308683	309564	-	882	0	0	0
ABD29465-1	Chromosome	309722	310582	+	861	0	0	0
ABD29466-1	Chromosome	310860	311660	-	801	0	1	2
ABD29467-1	Chromosome	311800	312468	+	669	0	1	1
ABD29468-1	Chromosome	312595	313908	-	1314	0	0	0
ABD29469-1	Chromosome	314326	316398	+	2073	16	7	3
ABD29470-1	Chromosome	316640	317467	-	828	5	1	1
ABD29471-1	Chromosome	317540	318739	-	1200	0	0	3
ABD29472-1	Chromosome	318835	318927	+	93	0	0	0
ABD29473-1	Chromosome	319041	320042	+	1002	0	0	0
ABD29474-1	Chromosome	320136	320408	+	273	0	0	0
ABD29475-1	Chromosome	320409	321209	+	801	0	0	0
ABD29476-1	Chromosome	321199	322143	+	945	0	0	0
ABD29477-1	Chromosome	322121	323143	+	1023	0	1	0
ABD29478-1	Chromosome	323458	324483	+	1026	2	0	0
ABD29479-1	Chromosome	324576	325922	-	1347	0	0	1
ABD29480-1	Chromosome	325937	326221	-	285	0	0	0
ABD29481-1	Chromosome	326223	326666	-	444	0	0	0
ABD29482-1	Chromosome	326671	328626	-	1956	0	0	0
ABD29483-1	Chromosome	328838	329257	+	420	0	0	2
ABD29484-1	Chromosome	329364	330719	+	1356	0	0	0
ABD29485-1	Chromosome	330823	331263	+	441	0	0	0
ABD29486-1	Chromosome	331346	332704	-	1359	0	0	0
ABD29487-1	Chromosome	333012	333938	+	927	0	0	0
ABD29488-1	Chromosome	333952	335013	+	1062	1	0	1
ABD29489-1	Chromosome	335027	335593	+	567	0	0	0
ABD29490-1	Chromosome	335653	336648	-	996	1	2	0
ABD29491-1	Chromosome	336647	337054	+	408	0	0	0
ABD29492-1	Chromosome	337067	337612	+	546	0	0	1
ABD29493-1	Chromosome	337880	338734	+	855	0	0	0
ABD29494-1	Chromosome	338731	339960	+	1230	1	0	0
ABD29495-1	Chromosome	339971	341653	+	1683	1	1	1
ABD29496-1	Chromosome	341746	342402	-	657	0	0	2
ABD29497-1	Chromosome	342464	342688	-	225	0	0	0
ABD29498-1	Chromosome	342788	343177	-	390	0	1	0
ABD29499-1	Chromosome	343418	343621	+	204	0	0	0
ABD29500-1	Chromosome	343618	344331	+	714	0	2	1
ABD29501-1	Chromosome	344356	345198	+	843	0	1	1
ABD29502-1	Chromosome	345198	345827	+	630	1	2	4
ABD29503-1	Chromosome	346194	347327	-	1134	0	1	2
ABD32042-1	Chromosome	347735	347893	-	159	0	0	1
ABD29504-1	Chromosome	347866	349047	+	1182	1	5	18
ABD29505-1	Chromosome	349130	349882	-	753	1	2	1
ABD29506-1	Chromosome	349925	352153	-	2229	2	2	2
ABD29507-1	Chromosome	352150	353991	-	1842	2	0	1
ABD29508-1	Chromosome	353960	355120	-	1161	0	1	0
ABD29509-1	Chromosome	355117	356220	-	1104	0	1	2
ABD29510-1	Chromosome	356884	357729	+	846	0	0	1
ABD29511-1	Chromosome	357886	358767	+	882	1	2	5
ABD29512-1	Chromosome	358797	359000	+	204	0	1	1
ABD29513-1	Chromosome	359012	360109	+	1098	0	4	12
ABD29514-1	Chromosome	360195	360386	-	192	0	0	1
ABD29515-1	Chromosome	360630	360926	+	297	8	34	67
ABD29516-1	Chromosome	360947	361450	+	504	16	74	92
ABD29517-1	Chromosome	361502	361744	+	243	5	19	27
EBG00001047237-1	Chromosome	361904	361999	+	96	0	0	0
ABD29518-1	Chromosome	362010	362948	-	939	0	0	0
ABD29519-1	Chromosome	362987	363298	-	312	0	0	0
ABD29520-1	Chromosome	363376	363534	-	159	0	0	0
ABD29521-1	Chromosome	363894	364505	+	612	0	0	0
ABD29522-1	Chromosome	364874	365242	+	369	0	0	0
ABD29523-1	Chromosome	365423	365995	+	573	3	0	0
ABD29524-1	Chromosome	366133	366396	-	264	0	1	3
ABD29525-1	Chromosome	366696	366947	+	252	1	0	0
ABD32043-1	Chromosome	366986	367195	-	210	0	0	0
ABD29526-1	Chromosome	367373	367954	+	582	1	0	1
ABD29527-1	Chromosome	368020	368403	-	384	1	1	0
ABD29528-1	Chromosome	368658	369284	-	627	7	0	3
ABD29529-1	Chromosome	369357	369650	-	294	0	0	2
ABD29530-1	Chromosome	369729	371252	-	1524	66	75	65
ABD29531-1	Chromosome	371268	371837	-	570	25	24	28
ABD29532-1	Chromosome	372329	373084	+	756	1	3	5
ABD29533-1	Chromosome	373165	374553	-	1389	2	7	1
ABD29534-1	Chromosome	374638	374739	+	102	0	0	0
ABD29535-1	Chromosome	375530	376486	-	957	5	8	24
ABD29536-1	Chromosome	376604	377266	-	663	1	0	2
ABD29537-1	Chromosome	377409	377816	-	408	0	0	0
ABD29538-1	Chromosome	378329	378907	+	579	0	1	2
ABD29539-1	Chromosome	378907	380175	+	1269	1	1	6
ABD29540-1	Chromosome	380213	381679	+	1467	1	12	21
ABD29541-1	Chromosome	381704	383245	+	1542	1	6	20
ABD29542-1	Chromosome	383358	383894	-	537	0	1	1
EBG00001047229-1	Chromosome	384158	384255	+	98	0	0	0
ABD29543-1	Chromosome	384287	384991	-	705	0	1	1
ABD29544-1	Chromosome	385390	385662	-	273	0	0	0
ABD29545-1	Chromosome	385933	386193	+	261	0	0	0
ABD29546-1	Chromosome	386599	386958	-	360	0	1	0
ABD29547-1	Chromosome	386977	387822	-	846	1	1	0
ABD29548-1	Chromosome	388294	388974	+	681	0	0	0
ABD29549-1	Chromosome	389260	389955	+	696	0	0	0
ABD29550-1	Chromosome	390246	391316	+	1071	0	0	0
ABD29551-1	Chromosome	391435	391572	+	138	0	0	0
ABD29552-1	Chromosome	391681	392607	+	927	0	0	0
ABD29553-1	Chromosome	392971	393675	+	705	0	0	0
ABD32044-1	Chromosome	393579	393878	-	300	0	0	0
ABD29554-1	Chromosome	394121	394816	+	696	0	0	0
ABD29555-1	Chromosome	395237	395932	+	696	0	0	0
ABD29556-1	Chromosome	396276	396974	+	699	0	0	0
ABD29557-1	Chromosome	397354	398052	+	699	0	1	0
ABD29558-1	Chromosome	398418	399101	+	684	0	0	0
ABD29559-1	Chromosome	399186	399287	-	102	0	0	0
ABD29560-1	Chromosome	399449	400921	+	1473	1	3	6
ABD29561-1	Chromosome	400914	402125	+	1212	1	1	4
ABD29562-1	Chromosome	402508	403185	+	678	0	0	0
ABD29563-1	Chromosome	403207	404715	+	1509	0	3	2
ABD29564-1	Chromosome	404819	405127	-	309	1	0	0
ABD29565-1	Chromosome	405465	406283	+	819	0	1	1
ABD29566-1	Chromosome	406302	407087	+	786	0	0	0
ABD29567-1	Chromosome	407345	408082	+	738	1	0	1
ABD29568-1	Chromosome	408072	409400	+	1329	2	0	2
ABD29569-1	Chromosome	409397	409720	+	324	2	0	1
ABD29570-1	Chromosome	409739	410053	+	315	0	1	5
ABD29571-1	Chromosome	410343	410603	-	261	0	1	0
ABD29572-1	Chromosome	410722	411924	+	1203	0	0	0
ABD29573-1	Chromosome	412193	412321	+	129	0	0	0
EBG00001047317-1	Chromosome	412518	412673	+	156	0	0	0
ABD29574-1	Chromosome	413512	414996	+	1485	3	5	4
ABD29575-1	Chromosome	415009	417714	+	2706	8	7	12
ABD29576-1	Chromosome	417876	418238	+	363	2	2	4
ABD29577-1	Chromosome	418467	418883	-	417	0	0	1
ABD29578-1	Chromosome	418921	419595	+	675	1	3	0
ABD29579-1	Chromosome	419632	420366	+	735	1	3	6
ABD29580-1	Chromosome	420544	420657	+	114	0	0	0
ABD29581-1	Chromosome	420822	422159	+	1338	0	5	10
ABD29582-1	Chromosome	422376	423290	+	915	2	1	1
ABD29583-1	Chromosome	423274	424416	+	1143	1	2	1
ABD29584-1	Chromosome	424710	425735	+	1026	0	4	1
ABD29585-1	Chromosome	425739	426398	+	660	0	0	0
ABD29586-1	Chromosome	426435	427277	+	843	0	0	0
ABD29587-1	Chromosome	427609	428613	+	1005	10	8	10
ABD29588-1	Chromosome	428798	429067	-	270	2	1	3
ABD29589-1	Chromosome	429216	429611	+	396	2	0	0
ABD29590-1	Chromosome	429601	430086	+	486	1	0	2
ABD29591-1	Chromosome	430255	431037	-	783	1	4	1
ABD29592-1	Chromosome	431034	432152	-	1119	0	2	4
ABD29593-1	Chromosome	432267	433151	-	885	0	1	0
ABD29594-1	Chromosome	433332	437831	+	4500	3	3	1
ABD29595-1	Chromosome	437849	439312	+	1464	2	0	1
EBG00001047344-1	Chromosome	439581	439670	-	90	0	0	0
SAOUHSC_T00048-1	Chromosome	439581	439673	+	93	0	0	0
ABD29596-1	Chromosome	440144	441571	+	1428	2	0	1
ABD29597-1	Chromosome	441635	443275	+	1641	1	0	4
ABD29598-1	Chromosome	443300	444028	+	729	1	1	0
EBG00001047295-1	Chromosome	444090	444359	-	270	411	216	78
EBG00001047316-1	Chromosome	444208	444307	-	100	0	0	0
ABD29599-1	Chromosome	444428	444529	+	102	0	0	0
ABD29600-1	Chromosome	444667	445191	+	525	0	0	3
ABD29601-1	Chromosome	445284	446957	+	1674	4	7	9
ABD29602-1	Chromosome	447047	447364	+	318	2	3	15
ABD29603-1	Chromosome	447371	447967	+	597	2	3	13
ABD29604-1	Chromosome	448172	448270	+	99	0	0	0
SAOUHSC_R0001-1	Chromosome	448819	450374	+	1556	0	0	0
EBG00001047345-1	Chromosome	448825	450370	-	1546	0	0	0
SAOUHSC_R0006-1	Chromosome	450739	453661	+	2923	0	0	0
EBG00001047346-1	Chromosome	450739	453661	-	2923	0	0	0
EBG00001047421-1	Chromosome	450751	450905	-	155	0	0	0
EBG00001047290-1	Chromosome	453048	453155	-	108	0	0	0
SAOUHSC_R00011-1	Chromosome	453734	453847	+	114	0	0	0
EBG00001047366-1	Chromosome	453734	453847	-	114	0	0	0
ABD29605-1	Chromosome	454730	456067	+	1338	3	0	0
ABD29606-1	Chromosome	456069	456686	+	618	0	1	3
ABD29607-1	Chromosome	456714	457043	+	330	5	7	11
ABD29608-1	Chromosome	457162	457338	-	177	0	0	2
ABD29609-1	Chromosome	457344	458183	+	840	1	2	3
ABD29610-1	Chromosome	458184	458987	+	804	0	3	2
ABD29611-1	Chromosome	459034	459351	+	318	0	2	1
